,comment,goodorbad
17,"If you aren't feeling particularly soft headed this movie may try your patience.  It is cute and quirky and at first clever, but goes on along the same line for far too long in the same tone, then attempts a little tear-jerking, only to resume the same steady, twee goofiness.  It's an accomplishment in terms of uniqueness, but for me the end was overdue and welcome.",0
18,"Marcel is a simple but efficient movie. The story is funny, yet with complex emotions of loss. It is funny, not in a big joke sens, more like smiling at. You smile at the simplicity and the strangeness. By the side, it takes a look at social media and it's peoples, but always into the perspective of Marcel. The animations are pretty good and done with a certain level of mastery. I give it 88%. Marcel is a movie I won't forget because, it was unique and told with the flair of a movie like Spirited Away.",1
19,It was an amazing movie overall. I highly recommend watching this movie.,1
20,"Refreshing way to approach a movie, and a very endearing character.",1
21,"Great film in so many ways. New perspectives, brilliant characters and wonderful acting. But most of all, amazing script and above all lots of laughters in a witty dialogue. A must see!!",1
22,"SMOOTHIE FINISH
A rather frank Finish feature of girls deciphering hormonal urges as they mature into adulthood. The matter of fact sex talk is blunt, refreshing, insightful and often funny, as director Alli Haapasalo avoids the sensationalistic and exploitative Hollywood pratfalls of bedroom romps. These are kids, experimenting, exploring, learning, fumbling, growing and most importantly, discussing. A talkie, not a humpy.

Mimmi and Ronkko swap sex tales whilst serving up ridiculously named smoothies (""It Takes Two To Mango"") at the local food court, when clique preppie figure skater Emma disrupts their world. The punky, cynical and rebellious Mimmi (Aamu Milonoff) argues with, then falls for the forbidden fruit, and we have story. A story that feels natural, flows true, views like a diary.

Milonoff is sensational in the lead, owning the screen at every emotional turn: burning embarrassment at her mother's neglect, seducing her target on the dance floor, and lashing out physical for attention. Though this is a three girl story across three Friday nights, and Haapasalo splits the plot pie in equal portions, Milonoff as Mimmi steals the show. ""Girl Picture"" is her movie.

Watch out!

- hipCRANK",1
23,"Rarely have I seen a film with so much emotional nuance, as well as taking an incredibly familiar story-type (coming of age/romance) and having some nice little surprises. Truly beautiful.",1
24,"Terrific movie with lovely, arresting performances and great editing and timing.",1
25,"Beautiful, beautiful, beautiful!!!",1
26,I had the honor to screen this at Sundance and interview the Director and cast. It is a charming movie that handles the lives of these young women with real life moments and unapologetic honesty. I am so glad that more people have the chance to see this film.,1
27,A brilliant coming of age story about young women navigating modern Finland. Very reminiscent of Frances Ha and Greta Gerwig dramedy.,1
28,"Extraordinary storytelling. Entertaining but  profound. Awesome performances by the three young leads Milonoff, Leino and Kauhanen.",1
29,One of the best movies I've seen this year. Great writing and acting. The music was also good.,1
30,Story is dark but has so many fascinating layers. Colin Farrell is absolutely remarkable. Cinematography is beautiful.,1
31,"A strange and depressing movie.  Trust your gut… if you watch the trailer and think “seems strange” go with that feeling and save your money.  This is one of those movies the critics rave about, but us “less insightful” people leave the theater thinking “I have no idea what that movie was about”.",0
32,The worst. Who cares. Why bother,0
33,A terrible depressing movie!  What was the movie's plot or purpose?  Colin Farrell's talent was wasted in this movie. Would not recommend this movie.,0
34,Very dark at times but great story.,1
35,Absolutely amazing acting and story,1
36,Good modern Irish fable that is allegory for the troubles in the Irish history. Great performances from leads and Kerry Condon was marvelous!,1
37,"A beautiful, ultimately tragic film with consequences that did not seem necessary.  Excellent acting and a beautiful setting make this well worth watching.",1
38,"Dont be afraid to laugh out loud even though the movie has a laid back feel to the characters and their behavior, which slowly intensifies through the film.",1
39,"Loved the actors, storyline, creativity of the script, and the setting in that order.  This director has created some of my favorite movies.  I love that Colin and Brendan were appearing together again after seeing them In Bruges.  I think Colin Farrell is so funny and his facial expressions (and those eyebrows) are genius.  I had some good laughs and amusement watching this movie.  Some people may not like it, but if you are ready for quirky youll love it.",1
40,"Was a good movie but shouldve been more powerful. Only thing I think wouldve made it more powerful wouldve been to show the brutality. I get why the director chose not to show the violence but I would say for this story it was a weird choice seeing as how Mrs. Till in real life chose to show the brutalitys aftereffect to make people see and not hide it. 

Other than that, was a good film. The scenery and production is gorgeous and brings out the 50s fashion and life. Love the use of the yellow color and how its given a life of its own.",1
41,Very well done.just sorry that the theater was not full,1
42,It was a true story that needed to be told. America needs to know the evil and pain of prejudice.,1
43,"Danielle Deadwyler was technically brilliant, and carried the film.",1
44,"While it gave enough details of what happened to Emmett Till, it was a wonderful portrail of a mother's love.  All of the acting was wonderful.  I forgot they were actors.",1
45,Very good movie.  I loved that it showed a different perspective.  It was not about the murder of Till but the fight of a mother for her child.,1
46,great education movie and it's still happening,1
47,Excellent movie! Should receive several awards!,1
48,A valuable story to see and to know.  Well acted and played.  Worth seeing.,1
49,"It was riveting. I was accompanied by a person who was a born in the mid seventies and apparently had not heard about it or Medgar Evers in the history books in school. So it was also very educational and definitely a story that needed to be told. The entire cast was outstanding and kudos to Danielle Deadwyler, and Whoopi for producing it.",1
50,"A beautiful and poignant movie, well worth your time.",1
51,"""You don't have to say anything...many's the person who missed the opportunity to say nothing, and lost much because of it"".  Beautiful, poetically quiet film that said so little but conveyed so much.",1
52,Iontach! Thar barr! Bhí cuid mhór daoine sa pictiurlann ag caoineadh faoi dheireadh an scannan seo. Cumhactach!,1
53,You need to go into this realizing that you have to  observe the chaactes to follow the story instead of dialogue spelling it out for you-very memorable images,1
54,"One of the better Irish films I have watched in recent years. However, the director squanders a lot of good work with a needlessly schmaltzy ending.",0
55,"My movie of the year and a masterpiece of delicious restraint, wonderful acting and superb cinematography and score.   It conveys with great empathy the basic and profound truth that care and attention are required for any life , especially a childs life, in order to grow and flourish.  It filled my heart and has stayed with me long after the event while other movies I believed were great have since faded from my thoughts.",1
56,"Fantastic film based somewhat on Claire Keegan's novel foster 

Wonderful advertisement for Irish cinema with fantastic performances from Foster Mam and Dad and the eponymous young star.

Another example of Irish Gaelic film production (not Scots Gaelic as mentioned above) which has been booming in the last few years and a worthy entry to the international film category at the Oscars",1
57,One of the most beautiful films I have seen in a longer while. Very sensual and beautifully executed.,1
58,"If this movie does not move you, you have no heart.",1
59,"The Quiet Girl is a quietly magnificent film that although quiet in nature packs a very large emotional punch. Set mostly in the Irish language the feature film debut of director Colm Bairead is truly a wonder to behold. Set in Ireland in 1981 the film centres on 9YO Cait who lives in a household of neglect. Her father constantly drinks and gambles and her mother is about to have another child. Cait is barely noticed in the house and doesn't receive any true love or attention. The parents then decide to send her away for a period of time to a middle aged couple, one of whom is a distant cousin. Right here is the essence of the film as Cait for the first time discovers love, attention and the heart of home. The couple are loving, especially Eibhlin. Sean is rather withdrawn and taciturn but eventually he also forms a bond with Cait. This extremely gentle film conveys pure emotion in a quite simply beautiful way. Scenes of rural life are handled with great care as we see the withdrawn Cait open up to the possibilities of life. The cast are truly great especially Catherine Clinch as Cait in her first film role. I loved this film, it is truly full of life and heart and hope.",1
60,Great prequel to the story. Glad it got animated!,1
61,Good backstory im disappointed the main character wasn't in the movie.,1
62,it was a good story but i feel like it could have been a OVA. was it me or was the animation trying to hard to be pretty that it did itself a disjustice?,1
63,"this one did catch me off guard at first because I was expecting it to be based off the anime but it was before the anime. but it was really good still, animations on point",1
64,a fantastic wild ride of a storyline,1
65,Ive rewatched this movie three times in a span of two months if thats not enough to convince you that this movie is top tier I dont know what will. This is officially my favorite movie of all time. Yuta and his backstory made me cry multiple times (I never cry) they did a phenomenal job and anyone who hasnt watched it is missing out on peak fiction. I want to rewatch this movie again for a 4th time Im definitely buying the Blu-ray. Also forgot to mention that 3 different friends tagged along each time who have never watched anime or never seen JJK before and they went CRAZY over it. Words cannot describe how much I truly loved how they executed this.,1
66,NANAMI IS SO HECKING FINE GOOD LORD,1
67,Amazing artwork & a good prequel to the series,1
68,"Good storyline, awesome graphics and fights! What's not to love!",1
69,Perfect Movie literally the best of the best would watch again if more showings,1
70,I loved this movie I came across it on Amazon new releases. Andrea Riseborough is amazing she should win a Oscar for her performance!! everybody was very good in this Indie film its too bad these movies get passed up alot of times for awards. Ive seen it twice and could watch it again! I highly recommend this film!,1
71,"Andrea Riseborough's performance is nothing short of astounding and her character's transformation a joy to behold. To see qualities such as kindness and forgiveness and maturity and a sense of community in a film is wonderfully refreshing. There are some hilarious scenes, some moving scenes, and a tight, witty dialogue that moves the whole film along at a great pace. It is also beautiful to look at, a dreamy quality created by being made on film and not digital, which has made certain shots linger in my mind. This film is a triumph and is surely Oscar materlal.",1
72,"Good writing and acting all around. Janey as usual is great. Maron was good too. But the actress that plays the lead, Andrea Riseborough, is absolutely amazing. She knows this world. Or she has observed it and really paid attention. Her portrayal was heartbreaking and illuminating. Just a revelation and the movie was worth my time to watch her, even if it wasn't as good as it is already.",1
73,I'm not a fan of movies about dysfunctional families or losers such as addicts so this movie wasn't for me. I was bored or frustrated the whole time and the ending was almost a relief.,0
74,This one took me by surprise. Andrea Riseborough is a force of nature! Huge recommend. 5/5. And Andrea deserves an Oscar!,1
75,Not my thing. A depressing movie that I almost turned off several times.,0
76,Andrea Riseborough offers the best performance I've seen in the last few years. A must see!!!,1
77,Andrea Riseborough is phenomenal here!,1
78,"Andrea Riseborough is phenomenal in this gritty, heartbreaking and finally life affirming movie about regret and redemption.",1
79,Solid flick. Steady story. Great performances.,1
80,Exceptional filmmaking. Revelatory.  Great cultural insight conveyed through clean visionary drama.  Highly recommended. Compelling performances.,1
81,Masterful! This movie slowly won me over until it became a favorite.  It  respects the audience enough to allow us to make our own conclusions.  So different than Hollywood.  So refreshing!,1
82,Touching... I'm speechless.,1
83,"I just wept my heart out. This is the kind of movie that might teach us all a bit more humility and humanity. The beautiful landscape and the sweetness of those Bhutanese people are absolutely heartwarming. I really don't like movies during which I have to read subtitles throughout it, but in this case it would be a real shame to watch a dubbed version. Within our actual world of rightist populists, trying to divide people, spreading hatred and rage into every direction, this flick is a touching example how it can be done just the opposite, the loving and caring, way. 8 1/2 of 10 points",1
84,"Fotografia maravilhosa, das paisagens do Butão, um filme butanês adorável… Uma aula de respeito a cultura e necessidade de cuidarmos da natureza… Tudo lindo… Esse filme vai muito além, uma produção incrível de Pawo Choyning Dorji que dirigiu e escreveu um roteiro perfeito, inserido nesses moradores locais, com suas histórias reais, não se trata de uma biografia, mas foram usadas a escola e situações do professor atuante, Lunana recebeu energia elétrica pouco depois das filmagens, merecia Oscar.",1
85,This was a cute movie with a feel good story. The acting was good and the cinematography was excellent. It's a nice family movie.,1
86,"This is a very simple movie, without any fast action or exciting plot. A teacher has to go to a village in the Himalayas in the middle of nowhere, doesn't want to teach, wants action and to go off and see the world and become a singer. Instead he's stuck in a place without a decent bathroom. And you see how the attitude of the people to him, in particular the children, change him and cause him to connect to a deeper sense of himself and of the world.  It's sort of inspiring. Its very simplicity leads you to quiet down in yourself as well.",1
87,Simply the best Movie. So inspiritional...,1
88,"Good story, great scenery, nice music, adorable children (and I'm not a fan of children).",1
89,"Here's a rare movie where I am in complete agreement with the critics more than the audience.  I think this is a perfect sentimental masterpiece.  The reluctant teacher goes to a remote place that he doesn't want to go to, only to find himself enchanted by his life changing experience there.  This is a beautiful movie that gets the human emotions right.  The superficial teacher winds up having his heart opened up to a new experience.  He learned more from his new surroundings and friends than he imagined he would.  He was appreciated in his new surroundings in ways he couldn't have foreseen.  This is a movie that will make you think about our abundantly superficial modern society up against a more pure and ancient way of living.  I loved this.  It struck an emotional chord with me.  Amazing.",1
90,Excellent animation and visuals but the story lacked the mysticism of the original. Del Toro sacrificed innocence and organic emotional wonder for a grounded reality. Adults will enjoy this more than kids.,1
91,Such a good movie and story line ...with bit emotional ride come with it,1
92,Amazing cinematic work by Del Toro! This is my favorite version of Pinocchio by far!,1
93,"Very well written, visual captivating and artistically sound.

Was a very touching story about enjoying what you have and the value of love between two people. Perfect movie for the holidays to remind you what is important in life .",1
94,"Loved it, a most see",1
95,Beautiful animation and story.,1
96,"A really great movie and I was surprised by how much I enjoyed it.I still like the classic Pinocchio more, but this is a unique version that can stand on it's own. It's basically a more gruesome and adult version of the tale, with more focus on Gepetto's pain and loneliness. If you're a parent that has ever lost a child, this will hit home. Either seeing the movie in theaters or streaming it at home, this version is worth watching if you don't mind a some gruesomeness.

For more movie thoughts follow me @MedleyMovies",1
97,"Del Toro is already known for creative content, storytelling, and master direction. However, having these exceptional award winning attributes does not guarantee that one can pull succeed in this genre.

All I can say is move over of Tim Burton, make room for  the new master of stop animation.  Supported by captivating character development, impressive set dressing, sound/lighting and technical wizardry, The movie is nearly perfect.

I personally enjoyed the screenplay, but as you can read in some of the reviews, although the movie wasn’t specifically made for children in a classic retelling, it did have some serious material that might be too much for young children to process. This doesn’t take away from the movie earning class status to an adult audience, but it is not the a movie that your child is going to want to see over and over other classic fairytale movies.

95 out of 100",1
98,"It's a fun, sweet movie, the music is beautiful, recommended for everyone, really heartwarming",1
99,"I was not aware of this movie. I thought I was buying tickets to another Pinocchio movie with Tom Hanks. We were disappointed to see stop motion animation, which I was never a fan of, but we did see about half of the movie before leaving. It's just disappointing that it wasn't the movie I thought it was. Now we have to save up and see the Tom Hanks Pinocchio.",0
100,These actors are superb. The story unbelievable. What a delightful movie.,1
101,"An engaging finish uplifts a sometimes too slow 'The Duke' into a satisfying watch for hubby and wife date night.  In the end of the day the tone doesn't equal what the film is: a romantic comedy.  Jim Broadbent and Hellen Mirren have an expected chemistry in Roger Michell's second to last film.  Based on a true story, but how much is true is up to the imagination!  Wife: 7.1/Hubby 6.9 Average: 7/10",1
102,"I wish Netflix will learn how to make good, decent, clean movies and drama series without undue sex scenes that don't even belong in the script. This one is an excellent example of what movies should be",1
103,An interesting story told well.  A quality production.,1
104,"Outstanding in every way. Falls into the category of ""don't miss this movie""",1
105,Very interesting based-on-truth story. A comedy-drama that is both well acted and well constructed. A charming little one indeed.,1
106,"This charming film lands well and uplifts. I'm sure it's well-received by all but the grumpiest, coldest movie-watchers. Sure it almost verges into twee sentimentality but it delicately avoids that fate and presents itself as a well-balanced, heart-warming experience.",1
107,"Best movie of the year so far, and likely will remain so. Both, Jim Broadbent and Helen Mirren,  give absolutely wonderful performances, and top the list of Oscar contenders this year, in the true story of the theft of the Duke of Wellington, a portrait of the man who defeated Napoleon at Waterloo. It was painted by Francisco de Goya, and would be worth tens of millions today. Check out his other famous paintings, the 2nd and 3rd of May, 1808. Anyway, I loved the film and it's performances so  I give it a perfect score,  5 stars out of 5.",1
108,"The true story upon which it's based is quite marvellous, but there just isn't enough content to stretch it out into a feature-length film and it shows. ‘The Duke' spends almost 2/3's of its time not going anywhere fast and only really gets going during the well-crafted, somewhat sappy final act. There was a side-plot that was clearly used to bulk out the content, but it was a subject that would have required proper attention to be effective and it definitely didn't get that. The perfectly cast and superb Jim Broadbent is very likeable as the do-gooder, everyday man and he's the only thing the first 2 acts, which serve mostly as a character study, have going for them. Overall, it's amusing, but as charming as it is in parts, it's not as good as I'd hoped.",0
109,"Great true story with an amazing cast who did an awesome portrayal of the characters!
Great film!",1
110,"""Hellbender"" presents us with a crafted combination of occult and family drama.
A girl lives with her mother in a secluded house in the forest, with no contact with the outside world. Their relationship gets a dark tone when the girl starts questioning her isolation and uncovers her family's ties with witchcraft. 
I am definitely becoming a fan of the Adams Family Films (""The Deeper You Dig"" is also amazing).",1
111,Amazing movie.  Best of 2022.,1
112,"1 star, this is very bad",0
113,i found it pretty weird.......but watched it anyway,0
114,"Was definitely not your cookie cutter plot line, and they were able to accomplish so much with a small budget. It kept my attention and I found the story refreshing and the music was also nice !",1
115,"The majority of people just expect to watch the same over and over, when they finally have the chance to see something different, it's like they don't appreciate it, or even more, they may just not understand it. 
Cheers for actors, directors and producers who dares to do different things.
Awesome movie!!!
I really loved it!!!",1
116,Heredity goes Punk! I can dig it!,1
117,it's a shame to see it with such a high rating poor casting poor idea dark enviroment boring scenario extremly horrible,0
118,Interesting movie but except for the central song there's nothing memorable about it. Good performances.,0
119,This was one of the worst horrors I have seen.,0
120,"Absolutely fantastic, best show on tv at the moment",1
121,Beavis and Butthead is what the universe needed the most.,1
122,"Esta película no estuvo mala. Me gusto mucho como han aumentado su vocabulario en esta película. Descargue la película gratis, así que me alegro de no haberla pagado.",1
123,Hilarious! This movie nails almost everything on what makes beavis and butt-head so iconic in the first place.,1
124,"Great comedies are rare and difficult to find. This new Beavis and Butthead feature is one of them. I discovered these two teenaged idiots doing their hilarious thing in between allegedly serious music videos around 1995. Then their/ Mike Judges full length debut ""Beavis and Butthead Do America""completely won me over, it is anabsolutely hysterical classic. Mr. Judge then gave us Office Space and eventually the brilliant Silicon Valley, where I've worked,  which clearly makes him a certified satirical comedy genius. 

The beauty of his latest effort is that it is just as simple, juvenile and, yes, gross as you remember it from the 90's. The artwork remains intentionally primitive , the plot indescribably nonsensical. It has the same lack of character development and stock clueless authority figures as Do America did. It even satirizes, via intentionally positioned background noise coverup, a potentially serious reference to Beavis's culturally deprived single parent background. Apparently he's a second generation complete idiot. Nothing is sacred when these two morons are doing the universe. Hysterical. 

Extra points because my dear wife, a woman of taste,  can't believe I enjoy these clueless idiots and their antics.",1
125,"As a big Beavis and Butthead fan, I really enjoyed this film. Im glad that the humor hasn't changed, Mike Judge isn't afraid of making fun of gender studies and white privilege. Those jokes definitely had me laughing out loud. If u dont get offended easily, then definitely check this one out",1
126,great to see our friends again.. it's been too long!! :),1
127,"This movie...is the definition of humor! I've loved the Beavis and Butthead TV Show as their jokes are always original, and they always make you laugh. This movie can never fail to make you laugh and if you are feeling sad, just, watch this movie!!",1
128,"Humorous, Droll, quite droll",1
129,"One of the best films of the year! It really is constantly funny and insanley good, well executed satire",1
130,"It's touching and sensitive, it treats morality beyond homosexuality and shows freedom as the paradox it is. Franz Rogowski is just exquisite.",1
131,"As a greatly anticipated film for me  it turned out to be different to what I expected. I admit also that much of that anticipation was to see Franz Rogowski again after watching every moment of him in IN THE AISLES. Yes the cruelty of the injustice that put the main protagonist in jail is an important theme, but that it turns the mirror on us, as we are now, in the final minutes of the film is the beauty of this film.",1
132,"A beautiful, sensitive film about endurance.  Textured, detailed, gritty, and moving.",1
133,Devastating and heartwarming at the same time.,1
134,"Swapping post-WWI Britain for post-WWII Germany, Sebastian Miese's film is the second one this Film Festival depicting life as a gay man back in the dark days of discrimination and criminalisation. Imagine Jean Genet's The Shawshank Redemption, filtered through Rainer Fassbinder's tragic romanticism (or a love affair between Querelle and Shawshank), if you will. Franz Rogowski's Hans has been bouncing in and out of prison as a result of Paragraph 175 in German law which criminalises 'sex act committed between persons of the male sex'. Intercutting between three different sentences he serves in the 40s, 50s and 60s, the different men in different periods of his life neatly encapsulate the history of homosexuals who are persecuted by an unjust law often with tragic consequences. The only constant throughout is Georg Friedrich's lifer Viktor, with whom he strikes up a relationship that begins originally with disgust before understanding and kindness transform it into something else. Meise's film is a masterclass in storytelling and how to keep an audience entranced until the final frame. Rogowski, who reminds me of a German Joaquin Phoenix, has a subtle intensity and quiet charisma that makes you ache for his sweet-natured Hans to find the peace and love he deserves. Matching him scene for scene is Friedrich's hard on the outside, tender on the inside Viktor and their relationship is beautifully drawn out by their nuanced performances; not to mention the excellent make-up work that ages them up through the decades. Hands down, the strongest narrative and my favourite poster at this year's Film Festival, this is a captivating and elegantly constructed portrait of a friendship under strange and untenable circumstances, with a recidivist epilogue that's pretty much the antithesis of the ending in Shawshank, leaving us on a bittersweet note that Fassbinder would approve.",1
135,Probably the most boring film I ever watched in my entire life.,0
136,It was shortlisted for the International Film Oscar but didn't make the shortlist.  It should've and it should've won.,1
137,"Life was once quite different for the LGBTQ+ community years ago. The mere act of engaging in same-sex relations was a criminal offense in many now-progressive countries, an activity punishable by branding offenders as perverts and landing them in prison for extended periods. One of those countries was West Germany, whose draconian measures even went so far as to transfer homosexuals liberated from concentration camp incarceration to state imprisonment after World War II. The harsh, prejudicial treatment experienced by West German gay men between 1945 and 1969, when the nation's laws against homosexual conduct were finally abandoned, provides the basis for this prison drama/love story told in four segments about the lives of four inmates, three of them gay and one of them more than a little curious. Director Sebastian Meise's second narrative feature presents an unflinching look at what gay men were up against during the time, when the simple act of loving someone of the same sex could have dire consequences, especially for the outspoken who believed one's love life was none of the state's business. Despite some occasional pacing issues (undoubtedly deliberate though at times frustrating in its attempt at conveying the tedium of prison life), this engaging and heartfelt drama makes its case without being preachy or heavy-handed and features fine performances by Franz Rogowski, Georg Friedrich, Thomas Prenn and Anton von Lucke, along with some inventive camera work. It's indeed heartening to see how far we've come in the years since then, but ""Great Freedom"" reminds us of how far we've had to journey in getting there – and how there are those in this world who are still subjected to this kind of needless abuse.",1
138,"Great Freedom is an Austrian prison drama that elevates the genre by being more nuanced, minimalist and ambiguous in its approach. It is a film that consistently follows the show and don't tell formula and that made it a highly cinematic, artistic viewing experience. It's a superbly acted, skillfully directed, emotionally exhilarating period drama about humans' need to emotionally connect with others even in the darkest of places.",1
139,"I liked it, but it wasn't mind blowing.",1
140,"without a doubt one of the best films I have seen in a very long time. in terms of a sequel almost perfect, dare I say better even than the original!",1
141,One of the best sequels in a VERY long time!,1
142,"Incredible experience from start to finish. it does what very few sequels have been able to accomplish, surpass the original. loved this film!",1
143,"Top Gun Maverick is a decent action movie that manages to deliver some exciting aerial sequences and decent performances from its cast. However, it's not a movie that's particularly memorable or groundbreaking, and it's not one that I would feel the need to watch again.

The plot is fairly formulaic, and the characters are somewhat predictable, with some familiar beats of the original Top Gun. While it's fun to see Tom Cruise back in the cockpit, the movie doesn't really add anything new to the franchise. 

Overall, Top Gun Maverick is a passable action movie that might be worth checking out if you're a fan of the original, looking for some mindless entertainment, or study its use of cinematography.",0
144,A good exciting movie that meshed well with the first Top Gun movie  so many years ago—- brought back great memories.  Cinematography was outstanding.!!,1
145,"I was kinda' leery of this 1980's legacy sequel -- particularly as it's still starring Tom Cruise. But I have to say, this was a really good movie. A bit formulaic, yes, but current and more believable (for a movie plot, at least). The acting was great, with some real character development. And the dogfight scenes (which occupy half the movie) were extraordinary. No mention of what happened to Kelly McGillis' character though.",1
146,6th time seeing this movie. Love it!,1
147,"Liked the ""trip down memory lane"" with nostalgia from the original Top Gun movie. Real action shots taken from F-18's and actual carrier operations were very impressive. Jennifer Connelly!",1
148,"Fun movie. I feel I lack the connection to the original Top Gun that may have made me appreciate it more, but still, a solid film. Nary a boring moment.",1
149,"It really pains me to say this but I really did not connect with this movie. Despite that, I'm not going to deny how incredible the filmmaking is. It's beautifully well-shot, the acting is great, and the dialogue feels very natural. The pacing though is just so unbearably slow for my liking. I could not stay focused and the only hour and forty minute run time felt like forever. I can see how so many people adored this movie but it simply was not for me.",0
150,"Paul Mescal is a marvelous actor that needs to be seen in more movies and TV shows!  Frankie Corio gives a nice youth performance.  In addition, I enjoyed the choice of music throughout the film.  However, I wish the writing was clearer and less vague.",0
151,"I really do wonder about the critics sometimes. Reading the reviews, you would think this was the film of the year. Suffice to say, I went in with high expectations...and I have never been so underwhelmed. Just to be clear: as a cinephile, I have no objection to slow pacing, cryptic story-telling or sparse use of dialogue. But there has to be a semblance of a plot, an inciting incident, some identifiable character arc. You have to give the audience something to work with. This movie fails on every one of those fronts. Mind-numbingly boring, self-important drivel. 
It's described as a ""coming of age film"" - I can guarantee you that watching it will feel like an age.",0
152,"I really don't understand this movie. I don't believe I've ever written a review but I feel compelled to for this one.  So drawn out, so slow and I kept hanging on waiting for it to reveal itself.  My husband left about an hour in. I wanted to leave it too but thought I might be rewarded by sticking with it, I'm no so jealous he got to spend his time doing something more enjoyable.",0
153,"Incredibly powerful film. Extraordinary writing, sound editing, characterisation, acting and direction. Heartbreaking but in a refreshingly ambiguous way. I will never hear ""Tender"" by Blur or ""Under Pressure"" by Bowie/Queen the same way ever again. Surprisingly inventive story-telling, seamlessly mixing naturalistic techniques like found-footage with surrealism and a non-linear narrative. The effect is to get you inside the heads of the two protagonists and witness their relationship in all its beauty and pain. It may have been a little slow at the beginning, and although he more than makes up for it with a towering performance, Paul Mescal looks a little fresh to be a stressed 30 year old. But no film is perfect, and this comes closer than anything I have watched in a long time. A film for anyone who has, or ever has had, a parent.",1
